transaction_id,bank_reference,bank_name,amount,bank_status,received_at,expected_settlement_at,settled_at,response_code,response_message
TXN00001,BNK_KOT_TXN00001,KOTAK_BANK,12000.0,SETTLED,2026-08-31T14:29:02,2026-08-31T14:44:02,2026-08-31T14:38:02,SETTLED_OK,Bank response
TXN00002,BNK_SBI_TXN00002,SBI,4999.0,SETTLED,2026-09-01T15:59:46,2026-09-01T16:14:46,2026-09-01T16:08:46,SETTLED_OK,Bank response
TXN00003,BNK_HDF_TXN00003,HDFC_BANK,2499.0,SETTLED,2026-08-31T09:57:48,2026-08-31T10:12:48,2026-08-31T10:09:48,SETTLED_OK,Bank response
TXN00004,BNK_SBI_TXN00004,SBI,499.0,SETTLED,2026-08-27T10:38:35,2026-08-27T10:53:35,2026-08-27T10:49:35,SETTLED_OK,Bank response
TXN00005,BNK_KOT_TXN00005,KOTAK_BANK,15000.0,SETTLED,2026-08-28T13:50:14,2026-08-28T14:05:14,2026-08-28T14:01:14,SETTLED_OK,Bank response
TXN00006,BNK_ICI_TXN00006,ICICI_BANK,15000.0,SETTLED,2026-08-31T10:53:49,2026-08-31T11:08:49,2026-08-31T11:01:49,SETTLED_OK,Bank response
TXN00007,BNK_SBI_TXN00007,SBI,12000.0,SETTLED,2026-09-04T17:33:40,2026-09-04T17:48:40,2026-09-04T17:44:40,SETTLED_OK,Bank response
TXN00008,BNK_HDF_TXN00008,HDFC_BANK,250.0,SETTLED,2026-08-30T18:36:05,2026-08-30T18:51:05,2026-08-30T18:47:05,SETTLED_OK,Bank response
TXN00009,BNK_HDF_TXN00009,HDFC_BANK,499.0,SETTLED,2026-08-28T10:55:15,2026-08-28T11:10:15,2026-08-28T11:05:15,SETTLED_OK,Bank response
TXN00010,BNK_HDF_TXN00010,HDFC_BANK,3500.0,SETTLED,2026-09-04T16:11:52,2026-09-04T16:26:52,2026-09-04T16:18:52,SETTLED_OK,Bank response
TXN00011,BNK_HDF_TXN00011,HDFC_BANK,6500.0,SETTLED,2026-08-27T20:38:40,2026-08-27T20:53:40,2026-08-27T20:52:40,SETTLED_OK,Bank response
