transaction_id,gateway_reference,merchant_id,amount,currency,payment_method,gateway_status,initiated_at,captured_at,settlement_initiated_at,response_code,response_message
TXN10001,GW_RAZ_TXN10001,MERCH_122,4999.0,INR,CARD,CAPTURED,2026-09-04T15:24:38,2026-09-04T15:25:21,2026-09-04T15:25:57,SUCCESS,Transaction captured successfully
TXN10002,GW_RAZ_TXN10002,MERCH_118,4999.0,INR,CARD,CAPTURED,2026-09-04T13:27:10,2026-09-04T13:27:20,2026-09-04T13:27:56,SUCCESS,Transaction captured successfully
TXN10003,GW_PAY_TXN10003,MERCH_121,999.0,INR,CARD,CAPTURED,2026-09-04T11:23:48,2026-09-04T11:24:32,2026-09-04T11:25:25,SUCCESS,Transaction captured successfully
TXN10004,GW_RAZ_TXN10004,MERCH_112,499.0,INR,CARD,CAPTURED,2026-09-04T12:56:36,2026-09-04T12:56:51,2026-09-04T12:57:42,SUCCESS,Transaction captured successfully
TXN10005,GW_CAS_TXN10005,MERCH_116,3500.0,INR,NETBANKING,CAPTURED,2026-09-04T17:55:38,2026-09-04T17:56:01,2026-09-04T17:56:55,SUCCESS,Transaction captured successfully
TXN10006,GW_PAY_TXN10006,MERCH_117,250.0,INR,CARD,CAPTURED,2026-09-04T12:04:21,2026-09-04T12:05:06,2026-09-04T12:05:40,SUCCESS,Transaction captured successfully
TXN10007,GW_RAZ_TXN10007,MERCH_103,12000.0,INR,UPI,CAPTURED,2026-09-04T17:15:17,2026-09-04T17:15:58,2026-09-04T17:16:31,SUCCESS,Transaction captured successfully
TXN10008,GW_STR_TXN10008,MERCH_116,12000.0,INR,UPI,CAPTURED,2026-09-04T12:06:06,2026-09-04T12:06:43,2026-09-04T12:07:25,SUCCESS,Transaction captured successfully
TXN10009,GW_RAZ_TXN10009,MERCH_121,499.0,INR,NETBANKING,CAPTURED,2026-09-04T15:46:21,2026-09-04T15:46:46,2026-09-04T15:47:18,SUCCESS,Transaction captured successfully
TXN10010,GW_RAZ_TXN10010,MERCH_109,6500.0,INR,CARD,CAPTURED,2026-09-04T16:51:55,2026-09-04T16:52:11,2026-09-04T16:52:34,SUCCESS,Transaction captured successfully
TXN10011,GW_STR_TXN10011,MERCH_125,3500.0,INR,UPI,CAPTURED,2026-09-04T16:30:13,2026-09-04T16:30:26,2026-09-04T16:30:56,SUCCESS,Transaction captured successfully
TXN10012,GW_STR_TXN10012,MERCH_115,1200.0,INR,CARD,CAPTURED,2026-09-04T11:12:18,2026-09-04T11:12:31,2026-09-04T11:13:28,SUCCESS,Transaction captured successfully
TXN10013,GW_PAY_TXN10013,MERCH_119,999.0,INR,CARD,CAPTURED,2026-09-04T09:32:05,2026-09-04T09:32:19,2026-09-04T09:33:17,SUCCESS,Transaction captured successfully
TXN10014,GW_RAZ_TXN10014,MERCH_119,8900.0,INR,UPI,CAPTURED,2026-09-04T10:26:42,2026-09-04T10:27:25,2026-09-04T10:28:05,SUCCESS,Transaction captured successfully
TXN10015,GW_CAS_TXN10015,MERCH_109,499.0,INR,CARD,CAPTURED,2026-09-04T16:20:59,2026-09-04T16:21:09,2026-09-04T16:21:58,SUCCESS,Transaction captured successfully
TXN10016,GW_PAY_TXN10016,MERCH_107,1200.0,INR,NETBANKING,CAPTURED,2026-09-04T14:56:04,2026-09-04T14:56:37,2026-09-04T14:57:15,SUCCESS,Transaction captured successfully
TXN10017,GW_CAS_TXN10017,MERCH_121,1500.0,INR,NETBANKING,CAPTURED,2026-09-04T10:56:08,2026-09-04T10:56:25,2026-09-04T10:56:51,SUCCESS,Transaction captured successfully
TXN10018,GW_CAS_TXN10018,MERCH_123,250.0,INR,CARD,CAPTURED,2026-09-04T17:31:16,2026-09-04T17:31:31,2026-09-04T17:32:31,SUCCESS,Transaction captured successfully
TXN10019,GW_PAY_TXN10019,MERCH_105,3500.0,INR,NETBANKING,CAPTURED,2026-09-04T16:35:45,2026-09-04T16:36:30,2026-09-04T16:36:50,SUCCESS,Transaction captured successfully
TXN10020,GW_PAY_TXN10020,MERCH_102,1500.0,INR,CARD,CAPTURED,2026-09-04T15:08:02,2026-09-04T15:08:35,2026-09-04T15:08:57,SUCCESS,Transaction captured successfully
TXN10021,GW_PAY_TXN10021,MERCH_125,999.0,INR,NETBANKING,CAPTURED,2026-09-04T12:55:10,2026-09-04T12:55:46,2026-09-04T12:56:07,SUCCESS,Transaction captured successfully
TXN10022,GW_CAS_TXN10022,MERCH_122,499.0,INR,NETBANKING,CAPTURED,2026-09-04T11:50:44,2026-09-04T11:51:18,2026-09-04T11:51:40,SUCCESS,Transaction captured successfully
TXN10023,GW_RAZ_TXN10023,MERCH_110,1500.0,INR,UPI,CAPTURED,2026-09-04T12:25:21,2026-09-04T12:25:35,2026-09-04T12:26:12,SUCCESS,Transaction captured successfully
TXN10024,GW_PAY_TXN10024,MERCH_101,8900.0,INR,UPI,CAPTURED,2026-09-04T13:02:06,2026-09-04T13:02:43,2026-09-04T13:03:25,SUCCESS,Transaction captured successfully
TXN10025,GW_CAS_TXN10025,MERCH_113,250.0,INR,NETBANKING,CAPTURED,2026-09-04T09:45:27,2026-09-04T09:46:10,2026-09-04T09:47:04,SUCCESS,Transaction captured successfully
TXN10026,GW_CAS_TXN10026,MERCH_111,3500.0,INR,NETBANKING,CAPTURED,2026-09-04T17:19:42,2026-09-04T17:20:12,2026-09-04T17:20:57,SUCCESS,Transaction captured successfully
TXN10027,GW_CAS_TXN10027,MERCH_113,250.0,INR,NETBANKING,CAPTURED,2026-09-04T15:35:53,2026-09-04T15:36:22,2026-09-04T15:37:00,SUCCESS,Transaction captured successfully
TXN10028,GW_STR_TXN10028,MERCH_111,15000.0,INR,CARD,CAPTURED,2026-09-04T12:32:30,2026-09-04T12:32:50,2026-09-04T12:33:15,SUCCESS,Transaction captured successfully
TXN10029,GW_PAY_TXN10029,MERCH_103,250.0,INR,UPI,CAPTURED,2026-09-04T12:09:01,2026-09-04T12:09:26,2026-09-04T12:10:16,SUCCESS,Transaction captured successfully
TXN10030,GW_STR_TXN10030,MERCH_123,12000.0,INR,NETBANKING,CAPTURED,2026-09-04T15:15:09,2026-09-04T15:15:19,2026-09-04T15:15:45,SUCCESS,Transaction captured successfully
TXN10031,GW_RAZ_TXN10031,MERCH_102,4999.0,INR,NETBANKING,CAPTURED,2026-09-04T16:08:51,2026-09-04T16:09:34,2026-09-04T16:10:29,SUCCESS,Transaction captured successfully
TXN10032,GW_STR_TXN10032,MERCH_124,4999.0,INR,NETBANKING,CAPTURED,2026-09-04T11:47:55,2026-09-04T11:48:33,2026-09-04T11:49:09,SUCCESS,Transaction captured successfully
TXN10033,GW_STR_TXN10033,MERCH_121,1200.0,INR,UPI,CAPTURED,2026-09-04T10:45:18,2026-09-04T10:45:45,2026-09-04T10:46:26,SUCCESS,Transaction captured successfully
TXN10034,GW_PAY_TXN10034,MERCH_113,2499.0,INR,NETBANKING,CAPTURED,2026-09-04T10:26:26,2026-09-04T10:27:10,2026-09-04T10:27:59,SUCCESS,Transaction captured successfully
TXN10035,GW_STR_TXN10035,MERCH_125,1500.0,INR,NETBANKING,CAPTURED,2026-09-04T16:00:22,2026-09-04T16:00:56,2026-09-04T16:01:42,SUCCESS,Transaction captured successfully
TXN10036,GW_STR_TXN10036,MERCH_108,12000.0,INR,CARD,CAPTURED,2026-09-04T09:24:21,2026-09-04T09:24:56,2026-09-04T09:25:26,SUCCESS,Transaction captured successfully
TXN10037,GW_RAZ_TXN10037,MERCH_113,999.0,INR,NETBANKING,CAPTURED,2026-09-04T10:41:27,2026-09-04T10:42:06,2026-09-04T10:42:37,SUCCESS,Transaction captured successfully
TXN10038,GW_CAS_TXN10038,MERCH_111,499.0,INR,CARD,CAPTURED,2026-09-04T15:16:53,2026-09-04T15:17:33,2026-09-04T15:17:54,SUCCESS,Transaction captured successfully
TXN10039,GW_RAZ_TXN10039,MERCH_121,250.0,INR,UPI,CAPTURED,2026-09-04T12:12:53,2026-09-04T12:13:12,2026-09-04T12:13:47,SUCCESS,Transaction captured successfully
TXN10040,GW_CAS_TXN10040,MERCH_107,15000.0,INR,CARD,CAPTURED,2026-09-04T11:38:38,2026-09-04T11:38:55,2026-09-04T11:39:25,SUCCESS,Transaction captured successfully
TXN10041,GW_PAY_TXN10041,MERCH_122,12000.0,INR,CARD,CAPTURED,2026-09-04T10:37:44,2026-09-04T10:38:09,2026-09-04T10:38:35,SUCCESS,Transaction captured successfully
TXN10042,GW_STR_TXN10042,MERCH_119,12000.0,INR,UPI,CAPTURED,2026-09-04T14:04:32,2026-09-04T14:05:03,2026-09-04T14:05:23,SUCCESS,Transaction captured successfully
