transaction_id,ledger_entry_id,amount,ledger_status,created_at,settlement_date,reconciliation_status
TXN00001,LEDG_TXN00001,12000.0,POSTED,2026-08-31T14:39:02,2026-08-31,MATCHED
TXN00002,LEDG_TXN00002,4999.0,POSTED,2026-09-01T16:09:46,2026-09-01,MATCHED
TXN00003,LEDG_TXN00003,2499.0,POSTED,2026-08-31T10:10:48,2026-08-31,MATCHED
TXN00004,LEDG_TXN00004,499.0,POSTED,2026-08-27T10:50:35,2026-08-27,MATCHED
TXN00005,LEDG_TXN00005,15000.0,POSTED,2026-08-28T14:02:14,2026-08-28,MATCHED
TXN00006,LEDG_TXN00006,15000.0,POSTED,2026-08-31T11:02:49,2026-08-31,MATCHED
TXN00007,LEDG_TXN00007,12000.0,POSTED,2026-09-04T17:45:40,2026-09-04,MATCHED
TXN00009,LEDG_TXN00009,499.0,POSTED,2026-08-28T11:06:15,2026-08-28,MATCHED
TXN00010,LEDG_TXN00010,3500.0,POSTED,2026-09-04T16:19:52,2026-09-04,MATCHED
TXN00011,LEDG_TXN00011,6500.0,POSTED,2026-08-27T20:53:40,2026-08-27,MATCHED
TXN00012,LEDG_TXN00012,3500.0,POSTED,2026-09-02T18:09:45,2026-09-02,MATCHED
TXN00013,LEDG_TXN00013,6500.0,POSTED,2026-08-30T12:04:04,2026-08-30,MATCHED
TXN00014,LEDG_TXN00014,999.0,POSTED,2026-08-27T17:43:02,2026-08-27,MATCHED
TXN00015,LEDG_TXN00015,999.0,POSTED,2026-08-27T10:20:14,2026-08-27,MATCHED
TXN00016,LEDG_TXN00016,499.0,POSTED,2026-08-28T16:29:35,2026-08-28,MATCHED
TXN00017,LEDG_TXN00017,3500.0,POSTED,2026-08-29T11:08:37,2026-08-29,MATCHED
TXN00018,LEDG_TXN00018,250.0,POSTED,2026-09-02T09:57:45,2026-09-02,MATCHED
TXN00019,LEDG_TXN00019,1200.0,POSTED,2026-09-04T08:13:56,2026-09-04,MATCHED
TXN00020,LEDG_TXN00020,250.0,POSTED,2026-08-28T08:33:59,2026-08-28,MATCHED
TXN00021,LEDG_TXN00021,999.0,POSTED,2026-09-02T13:52:34,2026-09-02,MATCHED
TXN00022,LEDG_TXN00022,3500.0,POSTED,2026-08-29T11:05:43,2026-08-29,MATCHED
TXN00023,LEDG_TXN00023,3500.0,POSTED,2026-09-01T12:07:57,2026-09-01,MATCHED
