transaction_id,classification,status,finding,anomaly_type,is_systemic,incident_id,bank,gateway,amount,date
TXN00001,NORMAL,SUCCESS,Status: SUCCESS across systems.,,false,,KOTAK_BANK,PAYU,12000.0,2026-08-31
TXN00002,NORMAL,SUCCESS,Status: SUCCESS across systems.,,false,,SBI,PAYU,4999.0,2026-09-01
TXN00003,NORMAL,SUCCESS,Status: SUCCESS across systems.,,false,,HDFC_BANK,STRIPE,2499.0,2026-08-31
TXN00004,NORMAL,SUCCESS,Status: SUCCESS across systems.,,false,,SBI,PAYU,499.0,2026-08-27
TXN00005,NORMAL,SUCCESS,Status: SUCCESS across systems.,,false,,KOTAK_BANK,CASHFREE,15000.0,2026-08-28
TXN00006,NORMAL,SUCCESS,Status: SUCCESS across systems.,,false,,ICICI_BANK,STRIPE,15000.0,2026-08-31
TXN00007,NORMAL,SUCCESS,Status: SUCCESS across systems.,,false,,SBI,CASHFREE,12000.0,2026-09-04
TXN00008,MISSING_LEDGER,MISSING_DATA,Status: MISSING_DATA across systems.,MISSING_LEDGER_RECORD,false,,HDFC_BANK,PAYU,250.0,2026-08-30
TXN00009,NORMAL,SUCCESS,Status: SUCCESS across systems.,,false,,HDFC_BANK,RAZORPAY,499.0,2026-08-28
TXN00010,NORMAL,SUCCESS,Status: SUCCESS across systems.,,false,,HDFC_BANK,CASHFREE,3500.0,2026-09-04
TXN00011,NORMAL,SUCCESS,Status: SUCCESS across systems.,,false,,HDFC_BANK,RAZORPAY,6500.0,2026-08-27
TXN00012,NORMAL,SUCCESS,Status: SUCCESS across systems.,,false,,SBI,PAYU,3500.0,2026-09-02
TXN00013,NORMAL,SUCCESS,Status: SUCCESS across systems.,,false,,KOTAK_BANK,STRIPE,6500.0,2026-08-30
TXN00014,NORMAL,SUCCESS,Status: SUCCESS across systems.,,false,,SBI,RAZORPAY,999.0,2026-08-27
TXN00015,NORMAL,SUCCESS,Status: SUCCESS across systems.,,false,,AXIS_BANK,PAYU,999.0,2026-08-27
TXN00016,NORMAL,SUCCESS,Status: SUCCESS across systems.,,false,,KOTAK_BANK,CASHFREE,499.0,2026-08-28
TXN00017,NORMAL,SUCCESS,Status: SUCCESS across systems.,,false,,KOTAK_BANK,STRIPE,3500.0,2026-08-29
TXN00018,NORMAL,SUCCESS,Status: SUCCESS across systems.,,false,,KOTAK_BANK,PAYU,250.0,2026-09-02
TXN00019,NORMAL,SUCCESS,Status: SUCCESS across systems.,,false,,ICICI_BANK,RAZORPAY,1200.0,2026-09-04
TXN00020,NORMAL,SUCCESS,Status: SUCCESS across systems.,,false,,ICICI_BANK,RAZORPAY,250.0,2026-08-28
TXN00021,NORMAL,SUCCESS,Status: SUCCESS across systems.,,false,,KOTAK_BANK,RAZORPAY,999.0,2026-09-02
TXN00022,NORMAL,SUCCESS,Status: SUCCESS across systems.,,false,,AXIS_BANK,STRIPE,3500.0,2026-08-29
TXN00023,NORMAL,SUCCESS,Status: SUCCESS across systems.,,false,,AXIS_BANK,PAYU,3500.0,2026-09-01
TXN00024,NORMAL,SUCCESS,Status: SUCCESS across systems.,,false,,AXIS_BANK,PAYU,1200.0,2026-09-02
TXN00025,NORMAL,SUCCESS,Status: SUCCESS across systems.,,false,,ICICI_BANK,PAYU,999.0,2026-08-28
TXN00026,NORMAL,SUCCESS,Status: SUCCESS across systems.,,false,,KOTAK_BANK,PAYU,4999.0,2026-09-03
TXN00027,NORMAL,SUCCESS,Status: SUCCESS across systems.,,false,,HDFC_BANK,STRIPE,499.0,2026-08-29
TXN00028,NORMAL,SUCCESS,Status: SUCCESS across systems.,,false,,HDFC_BANK,RAZORPAY,1200.0,2026-09-04
TXN00029,NORMAL,SUCCESS,Status: SUCCESS across systems.,,false,,AXIS_BANK,RAZORPAY,15000.0,2026-08-30
TXN00030,NORMAL,SUCCESS,Status: SUCCESS across systems.,,false,,ICICI_BANK,CASHFREE,999.0,2026-09-02
TXN00031,NORMAL,SUCCESS,Status: SUCCESS across systems.,,false,,AXIS_BANK,STRIPE,2499.0,2026-08-30
TXN00032,NORMAL,SUCCESS,Status: SUCCESS across systems.,,false,,KOTAK_BANK,PAYU,8900.0,2026-08-27
TXN00033,NORMAL,SUCCESS,Status: SUCCESS across systems.,,false,,SBI,PAYU,250.0,2026-08-29
TXN00034,NORMAL,SUCCESS,Status: SUCCESS across systems.,,false,,AXIS_BANK,STRIPE,4999.0,2026-09-01
TXN00035,MISSING_LEDGER,MISSING_DATA,Status: MISSING_DATA across systems.,MISSING_LEDGER_RECORD,false,,AXIS_BANK,CASHFREE,1500.0,2026-08-28
TXN00036,NORMAL,SUCCESS,Status: SUCCESS across systems.,,false,,HDFC_BANK,PAYU,6500.0,2026-09-04
TXN00037,NORMAL,SUCCESS,Status: SUCCESS across systems.,,false,,AXIS_BANK,CASHFREE,8900.0,2026-08-28
TXN00038,NORMAL,SUCCESS,Status: SUCCESS across systems.,,false,,KOTAK_BANK,RAZORPAY,250.0,2026-08-30
TXN00039,MISSING_LEDGER,MISSING_DATA,Status: MISSING_DATA across systems.,MISSING_LEDGER_RECORD,false,,ICICI_BANK,RAZORPAY,999.0,2026-09-01
TXN00040,NORMAL,SUCCESS,Status: SUCCESS across systems.,,false,,KOTAK_BANK,RAZORPAY,999.0,2026-09-01
TXN00041,NORMAL,SUCCESS,Status: SUCCESS across systems.,,false,,ICICI_BANK,RAZORPAY,8900.0,2026-09-02
TXN00042,DELAY,DELAYED,Status: DELAYED across systems.,BANK_DELAY,false,,KOTAK_BANK,PAYU,4999.0,2026-09-01
TXN00043,NORMAL,SUCCESS,Status: SUCCESS across systems.,,false,,ICICI_BANK,STRIPE,250.0,2026-09-04
TXN00044,NORMAL,SUCCESS,Status: SUCCESS across systems.,,false,,AXIS_BANK,STRIPE,8900.0,2026-09-04
TXN00045,DELAY,DELAYED,Status: DELAYED across systems.,BANK_DELAY,false,,HDFC_BANK,CASHFREE,4999.0,2026-08-31
TXN00046,NORMAL,SUCCESS,Status: SUCCESS across systems.,,false,,AXIS_BANK,RAZORPAY,4999.0,2026-08-27
TXN00047,NORMAL,SUCCESS,Status: SUCCESS across systems.,,false,,ICICI_BANK,STRIPE,499.0,2026-09-03
